Title,URL,Image
kalea white strappy high heel sandals,https://www.lulus.com/products/kalea-white-strappy-high-heel-sandals/2304471.html,https://www.lulus.com/images/product/xlarge/11236641_2304471.jpg
kalea mango strappy high heel sandals,https://www.lulus.com/products/kalea-mango-strappy-high-heel-sandals/2304511.html,https://www.lulus.com/images/product/xlarge/11221181_2304511.jpg
beckette white strappy high heel slide sandals,https://www.lulus.com/products/beckette-white-strappy-high-heel-slide-sandals/2304531.html,https://www.lulus.com/images/product/xlarge/11354261_2304531.jpg
beckette lime strappy high heel slide sandals,https://www.lulus.com/products/beckette-lime-strappy-high-heel-slide-sandals/2304551.html,https://www.lulus.com/images/product/xlarge/11409121_2304551.jpg
beckette gold strappy high heel slide sandals,https://www.lulus.com/products/beckette-gold-strappy-high-heel-slide-sandals/2304591.html,https://www.lulus.com/images/product/xlarge/11331401_2304591.jpg
flirtatious style black color block strapless mini dress,https://www.lulus.com/products/flirtatious-style-black-color-block-strapless-mini-dress/2304611.html,https://www.lulus.com/images/product/xlarge/11207581_2304611.jpg
brocktan natural raffia platform ankle strap high heel sandals,https://www.lulus.com/products/brocktan-natural-raffia-platform-ankle-strap-high-heel-sandals/2304631.html,https://www.lulus.com/images/product/xlarge/11383981_2304631.jpg
feeling trendy charcoal grey textured ribbed collared tank top,https://www.lulus.com/products/feeling-trendy-charcoal-grey-textured-ribbed-collared-tank-top/2304651.html,https://www.lulus.com/images/product/xlarge/11242741_2304651.jpg
vinson black knee high moto boots,https://www.lulus.com/products/vinson-black-knee-high-moto-boots/2304671.html,https://www.lulus.com/images/product/xlarge/11368601_2304671.jpg
memorable crush ivory ribbed short sleeve button front crop top,https://www.lulus.com/products/memorable-crush-ivory-ribbed-short-sleeve-button-front-crop-top/2304691.html,https://www.lulus.com/images/product/xlarge/11242941_2304691.jpg
sweet ease white textured ribbed ruched short sleeve top,https://www.lulus.com/products/sweet-ease-white-textured-ribbed-ruched-short-sleeve-top/2304711.html,https://www.lulus.com/images/product/xlarge/11238501_2304711.jpg
